*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
Fransa'dan geldi! İyi kafa ve gövdeye sahip birçok örnek gördüm, ancak doğru kulak tipine sahip olanların sayısı nispeten azdı, çoğunluğunun kulakları, Smooth Toy Terrier'lerden bahsederken anlattığım gibi, "Yarasa veya Lale" kulaklarıydı ve bu da yüze oldukça aptalca, boş bir ifade veriyordu. Ancak, bu tür, üst düzey kişiler tarafından o kadar hevesle destekleniyor ve iyi örnekler kolayca o kadar yüksek fiyatlara satılıyor ki, yetiştiricilerin, bu sevimli küçük hayvanlar için sınıflar sağlayan tüm şovlardaki katılımların sayısında ve kalitesinde büyük bir iyileşme gördüğümüzde, doğru kulak tipine sahip daha fazla örnek üretmeyi başaracaklarından şüphe etmek için pek az neden var. Bu hayvanlar, "Oyuncaklar" arasında sınıflandırılma unvanlarını korumak istiyorlarsa, en fazla yirmi poundluk bir sınırla sınırlandırılmalıdır. "

[İllüstrasyon: TOY BULL TERRIER "LILY" C. H. LANE SAHİBİ.]

_Toy Bull Terrier'ler._--Son yıllarda oldukça fazla teşvik edilen Toy Bull Terrier'ler, daha büyük cinsin muadili olmalıdır,
ancak birçoğunun baş özellikleri başarısızdır ve hem yüzü çok kısadır hem de kafatası çok yuvarlaktır, çoğu zaman başlarının veya vücutlarının bir yerinde küçük bir benekli veya başka bir renk lekesi vardır, ancak
mümkünse saf beyaz tercih edilir. Uzun yıllar bunlardan bazılarını besledim ve onları iki buçuk pound kadar küçük olarak yetiştirdim, ancak
bu ağırlıkta bile cesaretleri azalmadı ve sahip olduğum en küçük
köpek, güçlerinin çok ötesinde bir düşmana yaptığı pervasız saldırıyla öldürüldü. Boyutlarını ve ağırlıklarını en ufak bir şekilde düşünmeden, en ufak bir tereddüt veya herhangi bir gösteri olmadan onları yutabilecek düşmanlara saldıran birkaç tane daha gördüm korku.

[İllüstrasyon: İTALYAN TAZISI CH. "LARKFIELD LEVERET" P. TURNER,
SAHİP.]

_İtalyan Tazıları._--Birkaç yıl önce evcil hayvan olarak çok daha fazla tutulan
İtalyan Tazısı çok zarif ve şık bir türdür; Whippet'ten daha ince yapılıdır ve başı daha kısadır,
ve en sık görülen renkler altın sarısı ve kremdir, ancak benden önce de vardı ve iyi şekilli olanları da vardı, kırmızı, kırmızı ve beyaz ve
mavi açık kahverengi, sonuncusu "renksiz" olanların en iyisidir.
Tüyleri çok ince, yumuşak ve parlak olmalı, en iyi boyutu sekiz veya sekiz buçuk pound'u geçmemelidir. Bunlar son derece zarif, şık küçük yaratıklardır, ancak haklı veya haksız olarak (bu, yetiştirmediğim veya beslemediğim birkaç köpek türünden biri olduğu için) bana narin ve bakım ve ilgi gerektiren bir izlenim veriyorlar.
Bu tür çoğunlukla üç veya dört kişinin elinde gibi görünüyor, ancak her iki cinsiyetten de hala mükemmel örnekler olduğunu söylemekten memnuniyet duyuyorum, bu nedenle, ülkenin en yüksekleriyle birlikteyken yersiz görünmeyecek türlerden biri olduğu için, neslinin tükenmesi konusunda acil bir korku olmamasını umuyorum.

Bayan P. Turner'ın iyi bilinen kulübesinden iyi ve tipik bir örneğin portresi, bu çeşitliliği göstermektedir.

BÖLÜM IV

İÇERİK

BÖLÜM IV

BÖLÜM SAYFA

XVI. Yabancı Köpekler Hakkında Bir Şey 291

XVII. Gösteri Halkalarının Mizah ve Kaprisleri 311

XVIII. }

to } Köpekler Hakkında Anekdotlar, Kişisel ve Seçilmiş 322
XXIII. }

XXIV. Genel Yönetim ve Köpeklerin Maruz Kaldığı Bazı Basit Hastalıklar ve Tedavileri Hakkında Birkaç Söz 389

BÖLÜM XVI

YABANCI KÖPEKLER HAKKINDA BİR ŞEY

Sanırım, bunlar hakkında bir şeyler söylemem en iyisi olacak,
ancak arkadaşım Bay Edwin Brough, özellikle ortak arkadaşımız Bay W. K. Taunton'a ait olanları, genel olarak "Vahşi Hayvanlar" olarak adlandırmaya alışkındı. Taunton, uzun yıllar boyunca Avrupa'da bulunabilecek en iyi nadir yabancı köpek ırklarından oluşan koleksiyonlardan birine sahipti ve bu koleksiyon, Arktik Bölgeler, Çin, Avustralya, Hindistan, Afrika ve dünyanın diğer uzak bölgelerinden örnekler içeriyordu. Çeşitli gösterilerde, özellikle de Londra Bölgesi'nde düzenlenenlerde, önümde onun örnekleri sık sık oldu ve birkaç yıl önce, davet üzerine, Essex'teki kulübelerine gittiğimi ve orada gördüğüm birçok tipik örnekle çok ilgilendiğimi hatırlıyorum. Bay Taunton'ı sadece tazı ve mastifflerin birinci sınıf bir hakemi olarak değil, aynı zamanda (tanıdığım en mütevazı adamlardan biri olmasına rağmen) bu ülkedeki veya muhtemelen başka herhangi bir ülkedeki "Yabancı Köpekler"in en yetenekli ve en iyi hakemi olarak görmeliyim. Diğer birçok hakemin gördüğünden daha fazlasını yetiştirdi ve sahiplendi!

[İllüstrasyon: NORVEÇ GEYİK KÖPEĞİ "JAEGER" LADY CATHCART SAHİBİ.]

_Norveç Geyik Tazısı. _--En sık tutulan türlerden biri, Eskimolara çok benzeyen ancak kürk, kulak ve kuyruk karakteri bakımından farklılık gösteren
Norveç Elk Tazısı'dır. Yapısı aktif olmalı, ancak özellikle omuzlarda güçlü bir
yapıya sahip olmalı; oldukça uzun kama şeklinde
baş; oldukça güçlü ve künt şekilli çeneler; koyu ve açık gri tonlarında bol miktarda alt kürkü olan kalın kürk, sırt kısımları daha koyu ve alt kısımları daha açık ve bazen hafifçe bronz; iyi yuvarlak
ayaklar, bacaklar güçlü, sıkı ve düz, kulaklar Eskimolardan çok daha büyük ve farklı şekilde taşınıyor, hem dik hem de sivri; kuyruk bol miktarda tüyle kaplı ve yana doğru çift bükümle taşınıyor, ifade olarak kurt benzeri olmaya meyilli, koyu kahverengi
gözlere sahip.

[Resim: AFGAN TAZISI "SHAHZADA" J. WHITBREAD SAHİBİ.]

_Pers Tazısı_ bazen karşılaşılan "Yabancılardan" bir diğeridir ve iyi formda gösterildiğinde çok zarif bir yaratıktır, yaklaşık olarak orta büyüklükte bir tazının büyüklüğündedir, başında ve kulaklarında, uyluklarında, kuyruğunda ve diğer yerlerinde yumuşak tüylü saçak vardır ve bu ona çok benzersiz bir görünüm verir, en sık görülen renkler açık kahverengi veya donuk tonlardır ve üzerindeki ekstra tüylerden dolayı başları İngiliz tazılarından daha kısa ve daha güçlü görünür. Afgan Tazıları adı verilen bir çeşidi vardır, bunlar renk olarak bile Perslere çok benzer, ancak önümde gördüğüm tüm örnekler önemli ölçüde daha küçük, daha çok büyük Whippet'lere benzer. İki cins arasında herhangi bir bağlantı olup olmadığını veya varsa ne olduğunu söylemeye hazır değilim.

_Afrika Kum Köpeği_ ara sıra görülen bir diğer cinstir; neredeyse tamamen tüysüz olması, genellikle bir tür
mavi siyah renkte olması ve bazen başın tepesinde kaba kıl benzeri bir tutam ve kuyruğun ucunda aynı renk ve karakterde benzer bir tutam olmasıyla dikkat çekicidir. Şekil ve görünüm olarak hafifçe
şişman ve hem baş hem de gövde olarak oldukça kaba, siyah ve kahverengi bir
terrier'e benzerler; şüphesiz hayranları vardır, yoksa ithal edilmeye ve tutulmaya devam etmezlerdi, ancak esasen "herkesin parası değil" olarak tanımlanabilecek
türlerden biridirler. [İllüstrasyon: THIBET ÇOCUĞU "SIRING" H. R. H. WALES PRENSİ
SAHİBİ.]

_Thibet Çoban Köpekleri._--Sık sık görmediğim ama gerçekten yakışıklı ve asil görünümlü bir cins olan Büyük Thibet Çoban Köpeği,
Galler Prensi H. R. H.'nin birkaç yıl önce Sandringham'da iyi bir örneğinin olduğunu hatırlıyorum,
sadece Collie benzeri bir vücuda, kalın alt ve üst tüylere sahip ama bizim collie'lerimizdeki kadar yoğun olmayan, ve Newfoundland, Mastiff ve Bloodhound ifadesini birleştiren bir kafaya, büyük, sarkık kulaklara, ağır dudaklara ve çenelere ve
görünüşte büyük bir asalete ve hatta vahşiliğe sahip olarak tanımlayabilirim. Çok kaba insanlarla yaşadıkları zorlu yaşamdan dolayı, Tibet'te seyahat edenlerden duyduğum kadarıyla, bu köpekler başa çıkılması çok zor müşteriler ve genellikle gezginler ve yabancılar için işleri çok tatsız hale getiriyorlar, ancak mükemmel bekçiler olacaklarından ve arkadaş olarak çok seçkin bir görünüme sahip olacaklarından hiç şüphem yok.

_Afgan Koyun Köpeği._--Bir diğer doğu cinsi Afgan Koyun Köpeği'dir,
gördüğüm örneklerde bizim İngiliz Kısa Kuyruklu Koyun Köpeği cinsine çok benziyor ve onun gibi, her yeri yoğun, tüylü bir
tüyle kaplı. Bana öyle geliyor ki, köpeklerimizin tüylerine göre doku olarak biraz daha yünlü ve karakter olarak kordonlulardı ve ayrıca daha uzun bacaklı ve daha toplanmışlardı, bu yüzden, aynı yükseklikte veya daha yüksekte durmalarına rağmen, ortalama olarak bizim "Bobtail"lerimizden önemli ölçüde daha az ağırlıkta olduklarını söyleyebilirim. Renkleri genellikle beyazdır, kahverengi veya siyah işaretler vardır, vücutların üzerine az çok
dağılmışlardır.

[İllüstrasyon: ESQUIMAUX CH. "ARCTIC KING" Bayan H. C. BROOKE SAHİBİ.]

_Eskimolar. _--Eskimolar, burada ara sıra görülen yabancı ırklardan bir diğeridir, Chow'dan daha büyük ve daha ağırdır ve
başı ve boynu daha uzundur, genellikle gri veya siyah beyaz tonlarındadır
renkleri sert dış tüylerle kaplıdır, ancak yoğun sıcak alt tüyleri vardır, oldukça uzun ve
boyunları kemerlidir, gözleri eğiktir, köpeğin boyutuna göre küçüktür ve çok sinsi ve
kurt benzeri ifadeleri vardır, dik kulakları oldukça öne taşınır ve kuyruğu arkaya doğru kıvrılır. Genel olarak, yabancılar için çok
büyüleyici değillerdir ve popüler bir komik şarkının kahramanıyla aynı terimlerle
anlatılabilirler, bu kahramanın "tamam, onu
tanıyorsan, ama onu
önce_ tanımalısın!" dediği söylenir. Hiç şüphe yok ki, son yıllarda Arktik bölgelerine yapılan keşif seferlerinin sayısı ve halkın tüm ayrıntılarına gösterdiği yoğun ilgi, tüm Arktik kaşifleri için çok önemli olan bu köpekleri daha fazla ön plana çıkarma etkisine sahip oldu. Onlarda hoşuma giden tuhaf, bağımsız bir hava var. Onları sık sık "Arktik ve Kuzey bölgelerinden gelen yabancı köpekler" olarak değerlendirmek zorunda kaldım ve görünüşleri biraz benzersiz ve ilginç olsa da, tavırları itibariyle çok cana yakın veya sosyal olarak tanımlamamalıyım.

[İllüstrasyon: CHOW CHOW. CH. "CHOW VIII". Bayan FABER SAHİBİ.]

_Chow._--Destekçileri olmayan bir diğer tür, birçoğu aristokrasinin saflarında olan
Chow'dur. Adından da anlaşılacağı gibi Çin'e özgüdür ve kısa, kalın bir kafası ve oldukça küt dikenli kulakları olan büyük, kaba bir Pomeranian'a çok benzer.
Renkleri neredeyse her zaman kırmızı, siyah veya arduvaz mavisi tonlarındadır,
ancak bunların bazı varyasyonlarını gördüm. Chow'lar genellikle küçük collie'ler kadar büyüktür ve Eskimo tarzında çok sıcak, yoğun tüylere sahiptir ve kuyruklarını hemen hemen aynı şekilde taşırlar ve neredeyse mürekkep gibi siyah dilleri olmasıyla dikkat çekicidir. Bu yabancı türlerin çoğu gibi, henüz bu ülkede yerlileşmemişlerdir, ancak
yakışıklı, seçkin görünümlü köpeklerdir ve daha fazla
anlaşıldıkça daha popüler olmaları olasıdır. Şu anda çok az sayıda kişide bulunuyorlar ve "herhangi bir diğer
çeşit" veya "Yabancı, herhangi bir çeşit" sınıflarındaki gösterilerde, kendi sınıflarında veya sınıflarında olduğundan daha sık karşılaşılıyorlar, ancak daha büyük gösterilerin bazılarında, cinsin birçok güzel örneğini içeren
iyi girişleri sık sık gördüm.

CHOW'LARIN GÖSTERİ PUANLARI

Chow'ların puanları şu şekildedir: Kafatası düz ve geniş, ağız
gözlerin altında belirgin, orta uzunlukta ve burunda oldukça künt,
dil ve dudaklar siyah, gözler koyu ve küçük, kulaklar çok küçük, sivri,
dik ve öne doğru taşınmış; boyun güçlü ve hafifçe kemerli, omuzlar kaslı ve güzel eğimli, göğüs geniş ve derin, gövde kısa ve güçlü
güçlü bel; ön bacaklar güçlü ve düz, küçük yuvarlak ayaklar,
arka kısımlar oldukça kare, arka kısımlar iyi aşağı indirilmiş, kuyruk sıkıca sırtın üzerine kıvrılmış, tüyler çok bol, düz ve doku olarak oldukça kaba.
Renkler genellikle siyah veya kırmızı; sarı, mavi ve beyaz, kesinlikle kendi renkleriyse doğrudur. Ağırlık, köpekler kırk ila elli pound; dişiler biraz daha az.

[İllüstrasyon: AVUSTRALYA DİNGOSU CH. "MYALL" Bayan H. C. BROOKE SAHİBİ.]

_Dingo._--Bir başka sömürge cinsi, Avustralya'nın Dingo veya Vahşi Köpeği, çoğumuzun duyduğu ancak çok azının gördüğü. O ülkede, cemaati kırk mil kare olan bir din adamı olan bir kardeşim var, onu her haftanın en iyi bölümünde at sırtında veya arabayla cemaat üyelerini ziyaret etmeye götürüyor, ayrıca İngiltere'de bir din adamı olan başka bir kardeşin oğulları olan üç yeğenim var, hepsi aynı koloninin farklı yerlerinde bulunuyor, "Dingoların" yaptıklarını çok duydum. "
Kümes hayvanlarına, kuzulara ve bazen koyunlara karşı çok titizdirler, bu yüzden o ülkede iyi bir üne sahip değillerdir!
Çakallara çok benzerler, ancak boyut olarak daha büyüktürler ve
tüyleri daha incedir ve kuyrukları daha az tüylüdür, omuzlarında daha az yele vardır ve
belki de başları biraz daha incedir, oldukça kurnaz, kurt benzeri bir ifadeye sahiptirler,
çoğu zaman elle tutulması çok güvenli değildir; renkleri genellikle sarı veya kumlu tonlardır,
ama onları kahverengi ve gri karışımı tonlarda gördüm, kabukları daha çok tilki gibidir;
genellikle köpek ırkının merak konusu olarak tutulurlar,
sık sık ağızlıklı veya "kafeslerde" tutulurlar, ancak uygar hayata alıştıkça,
şimdiye kadar kendilerine atfedilenden daha ilginç nitelikler geliştirebilirler.

[İllüstrasyon: ÇİN TEPELİ KÖPEK "ÇİN İMPARATORU" W. K. TAUNTON
SAHİBİ.]

_Çin Tepeli Köpek._--Sanırım bu kısa "tuhaf" ırklar bildirimini, oldukça nadir bir tür olduğunu düşündüğüm Çin Tepeli Köpeği'nden bahsederek sonlandıracağım, çünkü uzun yıllar boyunca tüm önde gelen şovlarda Yabancı Köpekleri yargılamış olsam da, bu nadir ırkın çok az gerçek örneği önüme getirildi. Sahibinin nezaketi sayesinde, gördüğüm en iyisinin iyi bir portresini elde edebildiğim için mutluyum. Genellikle, alnında veya üstünde sert bir tepe veya tutam dışında, genellikle neredeyse beyaz veya beyazımsı kahverengi renkte, neredeyse tüysüz, pürüzsüz, benekli bir deriye ve kuyruğun ucunda benzer renk ve karakterde bir tutama sahip olduklarını gördüm. Yuvarlak kafatası, iyi tanımlanmış "dur" ve vücut şekli ve stili bakımından oldukça kısa, sert bir yüz, kaba ve güçlü bir İtalyan tazısı gibi ve neredeyse her zaman soğuktan
sıkılmış olma fikrini veriyor. Onlar hakkında gördüğüm az şeye göre, onları oldukça narin ve
uygun koşullar dışında iklimimize uygunsuz olarak değerlendirmeliyim. Hiçbirinin
yararlı bir amaç için
kullanıldığını duymadığım için, sadece arkadaş ve evcil hayvan olarak tutulduklarını düşünüyorum. Bu bölümde dahil edebileceğim birkaç başka cins daha olduğunu biliyorum,
örneğin Samoyede Sledge köpekleri (burada bu cinsin büyük bir portresi verilmiştir), Pirene Koyun Köpeği; Leonberg Köpeği, _Dogue de
Bordeaux_, çok iyi bir örneğinin büyük bir portresi de verilmiştir ve büyük ölçüde yüksek sınıf bir Bull
Mastiff karakterine sahiptir ve çoğunlukla Kıtada ayı ve diğer büyük avlarla dövüşmek için kullanılmıştır; ve diğerleri, ancak "Yabancı Köpekler Hakkında Bir Şey!" başlığına uyması için yeterince şey söylediğimi düşünüyorum.

[İllüstrasyon: LAPLAND-SLEDGE-DOG "PERLA". H. R. H. GALLER PRENSİ.
SAHİBİ.] [Çizim: DOGUE DE BORDEAUX. CH. "SANS-PEUR". (Geç) Bayan H. C. BROOKE SAHİBİ. ]

BÖLÜM XVII

GÖSTERİ HALKLARININ MİZAHLARI VE KAPİTALİZMLERİ

Yıllar önce, karısı oldukça iyi bir kadın olan, daha genç ve daha yakışıklı olan, ancak yine de
kendini oldukça "beğenen" ve mahallelerinde düzenlenen herhangi bir gösteriye götürmeyi bir nokta haline getirdiği düzgün bir Pug'ı olan bir arkadaşımla tanıştığımı hatırlıyorum ve bildiğim kadarıyla
o, o zamanlar krallık genelindeki birçok gösteride "her yönüyle
yargıç" olarak çok iyi tanınan saygıdeğer bir beyefendinin görev yaptığı yerel bir gösteride Pug'ı iki veya üç sınıfta yarıştırmıştı, dedim ki,
"Peki, ihtiyar dostum, karın Pug'ıyla nasıl geçindi?" "Ah, çok
kötü," dedi, "şapkasında pembe güller olan, şık görünümlü bir kız vardı, ringde bir köpeği vardı ve yargıç başka hiçbir şeye bakamıyordu, oysa bizim Pug çok daha iyiydi!"

Sadece çok başarılı bir yetiştirici ve sergileyici değil, aynı zamanda özellikle spor dışı ırklar konusunda en yetenekli jürilerimizden biri olan başka bir saygıdeğer yargıcın daha fazla jürilik yapmayı reddetmek üzere olduğunu tesadüfen duyduğumda, özellikle o zamanlar, yetenek ve statü açısından çok az jüri varken, onun bağışlanamayacağını düşündüm, bu yüzden ona bölümündeki önde gelen sergileyicilerden bazılarından güçlü bir görüş ifadesi alırsam konuyu yeniden değerlendirip değerlendirmeyeceğini sormak için bir mektup yazdım ve bana bunu yapmayı kabul ettiğini belirten çok nazik bir mektup yazdı. Daha sonra yazımın bir faksını hazırladım ve bir kopyasını spor dışı köpeklerin önde gelen tüm yetiştiricilerine ve sergileyicilerine gönderdim ve sanırım tek bir ret cevabı almadım. Hiçbir yargıcın böyle bir talebi olduğundan şüpheliyim ve sonuç olarak, uzun yıllar boyunca halk onun değerli hizmetlerinden yararlandı, ta ki, üzülerek söylüyorum ki, kötü sağlık durumu onu bu tür konuların hepsinden vazgeçmeye zorlayana kadar, ama o popülerliğini sonuna kadar korudu ve emekliliği herkes tarafından
üzüldü. O zamandan beri kendisiyle gösterilerde seyirci olarak sık sık karşılaştım ve ara sıra yazıştık.

Bu çalışmanın önceki sayfalarında da belirttiğim gibi, uzun yıllar boyunca Dandie yetiştiricisi ve sergileyicisi oldum ve bir zamanlar birçoğunu besledim, belki de krallığın en güçlü köpek kulübesiydi ve çok sayıda ödül kazandım, vb. Bir keresinde, Gloucestershire'daki bir gösteride bir köpek takımım olduğunda, en iyi Dandie'lerimden birini "Kaba Terrier Sınıfı"na veya "Çok Ödül Kazananlardan" oluşan bir sınıfa sokmuştum (o günlerde, programlara her türlü özel sınıf ve koşul dahil edilirdi) ve iki hakem görev yapıyordu, ikisinin de daha önce hiç Dandie görmediğini tahmin ediyorum. İlk başta, onun hakkında ne kadar şaşkın olduklarını görmek beni çok eğlendirdi ve onları birlikte fikir alışverişinde bulunurken görebiliyordum (söyleyebilirim ki, en üst sınıftan adamlardı, namlu kadar diktiler ve her ikisi de tüm kulübe dünyası tarafından, biri spor yapanlar arasında, diğeri spor yapmayanlar arasında, hak ettikleri şekilde saygı ve itibar görüyorlardı, ancak ikisinin de hala hayatta olduğunu umuyor ve inanıyorum ki isimlerini anmayacağım, her ne kadar hikayeyi birine yoğun bir şekilde eğlendirip memnun etsem de). Ancak daha sonra, yanımda ne tür bir hayvan olduğundan emin olmadıkları için beni es geçeceklerinden veya daha da kötüsü, tanınmış bir şampiyon olan ve o zamanlar türünün en iyi örneği olan köpeğime daha az önem vereceklerinden korkmaya başladım. Bir süre sonra yanıma gelip köpeğimi daha detaylı incelediler, numarasını sordular ve ona Birincilik Ödülü ve Özel Ödülü verdiler, büyük bir rahatlamayla, çünkü bir "Şampiyon"a katılmak için ne kadar aptal olduğumu düşünüyordum, bir ilçe gösterisinde böyle bir "geri çekilme" şansına sahip olmak için!
